id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
69,AIW - Nachan Farrate.mp3,Nachan Farrate,songs-file/AIW%20-%20Nachan%20Farrate.mp3.mp3,274.994225,0,0,29,AIW,All Is Well,2015,"Kanika Kapoor, Meet Bros",Hindi
70,AA - Anjaana Anjaani.mp3,Anjaana Anjaani,songs-file/AA%20-%20Anjaana%20Anjaani.mp3.mp3,287.76489795918366,0,0,30,AA,Anjaana Anjaani,2010,"Vishal Dadlani, Shilpa Rao",Hindi
71,AA - Tujhe Bhula Diya.mp3,Tujhe Bhula Diya,songs-file/AA%20-%20Tujhe%20Bhula%20Diya.mp3.mp3,281.0311111111111,0,0,30,AA,Anjaana Anjaani,2010,"Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Hindi
72,ANBL - Annabelle Sings A Song.mp3,Annabelle Sings A Song,songs-file/ANBL%20-%20Annabelle%20Sings%20A%20Song.mp3.mp3,215.184,0,0,31,ANBL,Annabelle,2014,WhatADizzyDance,English
73,ANBL - You Are My Sunshin.mp3,You Are My Sunshin,songs-file/ANBL%20-%20You%20Are%20My%20Sunshin.mp3.mp3,171.312,0,0,31,ANBL,Annabelle,2014,Charles McDonald,English
74,ANWR - Maula Mere Maula.mp3,Maula Mere Maula,songs-file/ANWR%20-%20Maula%20Mere%20Maula.mp3.mp3,364.40816326530614,0,0,32,ANWR,Anwar,2007,Roopkumar Rathod,Hindi
75,A - Barbie Girl.mp3,Barbie Girl,songs-file/A%20-%20Barbie%20Girl.mp3.mp3,201.9032,0,0,33,A,Aqua,1989,Aqua,English
76,ARDN - Mere Sapnon Ki Rani.mp3,Mere Sapnon Ki Rani,songs-file/ARDN%20-%20Mere%20Sapnon%20Ki%20Rani.mp3.mp3,300.64,0,0,34,ARDN,Aradhana,1969,Kishore Kumar,Hindi
77,ARYN - Aankhon Mein Tera Hi Chehra.mp3,Aankhon Mein Tera Hi Chehra,songs-file/ARYN%20-%20Aankhon%20Mein%20Tera%20Hi%20Chehra.mp3.mp3,271.20326530612243,0,0,35,ARYN,Aryans,1999,Aryans,Hindi
78,ARYN - Dekha Hai Teri Aankhon Ko.mp3,Dekha Hai Teri Aankhon Ko,songs-file/ARYN%20-%20Dekha%20Hai%20Teri%20Aankhon%20Ko.mp3.mp3,236.56489795918367,0,0,35,ARYN,Aryans,1999,Aryans,Hindi
79,AWRAN - Mahiya.mp3,Mahiya,songs-file/AWRAN%20-%20Mahiya.mp3.mp3,264.385306122449,0,0,36,AWRAN,Awarapan,2007,Suzanne D'Mello,Hindi
